defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,6,0,6.2626,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,3,0,6.3502,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,5,0,6.5428,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,2,0,6.1511,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,4,0,6.5272,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,7,0,6.1399,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,1,0,6.6404,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,9,0,6.3765,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_O,8,0,6.1143,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Ca,3,0,10.3053,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Ca,1,0,9.1185,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Ca,2,0,8.7324,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Al,4,0,12.7457,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Al,3,0,12.7231,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Al,2,0,12.9087,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
V_Al,1,0,13.0364,,,,,,,Al6Ca5O14,4.2323,-3.4296,1.843,DFT_PBE_U
